Green goblin : 		0	0	12	0	0	64	0	0	0	0	0	132	32	240	18	46	0
Green goblin : 		0	128	8	0	0	2	0	0	0	0	0	132	32	16	14	45	0
Grey goblin : 		0	0	12	0	0	68	0	0	0	0	0	132	32	176	211	46	0
Grey goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	160	207	43	0
Skeleton : 		0	128	4	0	0	2	0	0	0	0	0	132	32	48	218	35	12
Cave bat : 		0	64	8	0	0	128	0	0	0	0	0	132	32	64	188	56	0
Lurker : 		0	144	8	0	0	128	0	0	0	0	0	132	32	112	207	2	132
Flesh slug : 		0	128	4	0	0	0	0	0	0	0	0	132	32	16	106	41	132
Cave bat : 		0	64	8	0	0	64	0	0	0	0	0	132	32	176	98	55	136
Vampire bat : 		0	192	4	0	0	0	0	0	0	0	0	132	32	240	8	53	0
Cave bat : 		0	64	8	0	0	128	0	0	0	0	0	132	32	176	94	15	128
Cave bat : 		0	192	8	0	0	128	0	0	0	0	0	132	32	0	49	30	4
Cave bat : 		0	64	8	0	0	128	0	0	0	0	0	132	32	112	125	6	132
Imp : 		0	0	4	0	0	0	0	0	0	0	0	132	32	64	49	36	8
Giant rat : 		0	4	20	0	0	64	0	0	0	0	4	132	44	192	72	32	12
Giant rat : 		0	128	4	0	0	0	0	0	0	0	0	132	32	16	9	54	0
Giant rat : 		0	128	4	0	0	0	0	0	0	0	0	132	32	96	9	55	12
Giant rat : 		0	0	4	0	0	64	0	0	0	0	0	132	32	48	9	43	136
Green goblin : 		0	128	4	0	0	2	0	0	0	0	0	132	0	96	46	40	0
Green goblin : 		0	0	2	0	0	66	0	0	0	0	0	132	32	96	14	37	0
Green goblin : 		254	0	7	0	0	128	0	0	0	0	5	132	0	48	62	59	140
Flesh slug : 		0	128	4	0	0	0	0	0	0	0	0	132	32	192	151	63	4
Rotworm : 		0	0	8	0	0	0	0	0	0	0	0	132	0	32	232	60	0
Lurker : 		0	144	4	0	0	0	0	0	0	0	0	132	32	96	106	40	0
Grey goblin : 		0	128	4	0	0	2	0	0	0	0	0	132	0	96	218	63	0
Green goblin : 		0	128	8	0	0	2	0	0	0	0	0	132	0	192	145	48	0
Acid slug : 		0	0	4	0	0	64	0	0	0	0	0	132	32	224	236	49	0
Acid slug : 		0	0	4	0	0	0	0	0	0	0	0	132	32	64	220	39	0
Cave bat : 		0	64	8	0	0	64	0	0	0	0	0	132	32	96	200	62	8
Cave bat : 		0	64	8	0	0	64	0	0	0	0	0	132	32	96	180	43	136
Green goblin : 		0	0	7	0	0	132	0	0	0	0	0	132	0	128	19	59	132
Green goblin : 		0	0	8	0	0	132	0	0	0	0	0	132	32	144	11	47	128
Giant spider : 		0	128	8	0	0	64	0	0	0	0	0	132	32	112	56	59	0
Grey goblin : 		0	0	7	0	0	128	0	0	0	0	0	132	32	64	183	49	8
Grey goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	64	211	32	12
Grey goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	128	191	54	132
Grey goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	112	187	36	140
Grey goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	128	183	34	140
Grey goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	48	243	58	128
Outcast : 		101	4	24	0	0	128	0	0	0	0	4	132	44	240	132	9	0
Outcast : 		0	14	24	16	0	128	0	0	0	0	0	134	96	112	68	14	0
Outcast : 		0	0	24	32	0	128	0	0	0	0	0	134	96	192	132	0	128
Outcast : 		0	0	8	0	0	128	0	0	0	0	0	132	32	48	89	44	128
Outcast : 		213	2	24	32	0	68	0	0	0	0	4	132	44	64	133	53	12
Green goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	176	34	51	136
Green goblin : 		0	0	8	0	0	128	0	0	0	0	0	132	32	176	42	53	0
Wolf spider : 		0	0	4	0	0	2	0	0	0	0	0	132	32	96	79	35	128
Giant spider : 		0	0	4	0	0	0	0	0	0	0	0	132	32	224	110	32	4
Giant spider : 		0	0	4	0	0	0	0	0	0	0	0	132	32	96	151	41	8
Grey goblin : 		0	0	8	0	0	132	0	0	0	0	0	132	32	112	231	46	8
Lurker : 		0	16	4	0	0	0	0	0	0	0	0	132	0	112	57	5	0
Flesh slug : 		0	128	8	0	0	0	0	0	0	0	0	132	32	32	110	63	0
Rotworm : 		128	0	20	0	20	0	198	2	0	0	2	132	44	97	20	32	1
Giant spider : 		0	128	4	0	0	0	0	0	0	0	0	132	0	160	117	32	0
Giant rat : 		173	14	20	32	0	64	0	0	0	0	4	132	44	128	88	45	128
Giant rat : 		0	0	8	0	0	128	0	0	0	0	0	132	32	16	13	28	0
Mountainman : 		0	0	12	0	0	128	0	0	0	0	0	132	32	96	56	43	0
Mountainman : 		0	0	12	0	0	128	0	0	0	0	0	132	32	160	56	46	0
Grey goblin : 		0	128	4	0	0	0	0	0	0	0	0	132	32	192	227	45	0
Mountainman : 		0	0	12	0	0	128	0	0	0	0	0	132	32	96	72	46	0
Mountainman : 		0	0	12	0	0	128	0	0	0	0	0	132	32	160	72	43	0
Acid slug : 		57	130	20	32	0	0	0	0	0	0	0	134	96	160	108	25	0
Acid slug : 		65	128	20	16	0	0	0	0	0	0	0	134	96	176	108	1	0
Skeleton : 		0	128	4	0	0	0	0	0	0	0	0	132	32	64	88	34	0
Skeleton : 		0	0	4	0	0	0	0	0	0	0	0	132	32	64	88	41	0
Grey goblin : 		0	0	4	0	0	0	0	0	0	0	0	132	32	208	223	55	0
