Conversations memory debug
Conversation 1, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34		Corby
Conversation 2, MemorySlots : 86, ImportedGlobals : 82, Memory PUSHI : 43, priv. variables : 86		Shak
Conversation 3, MemorySlots : 38, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 38		Goldthirst
Conversation 4, MemorySlots : 47, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 47		Shanklick
Conversation 5, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36		Eyesnack
Conversation 6, MemorySlots : 85, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 85		Marrowsuck
Conversation 7, MemorySlots : 38, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 38		Ketchaval
Conversation 8, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34		Retichall
Conversation 9, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33		Vernix
Conversation 10, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Lanugo
Conversation 11, MemorySlots : 33, ImportedGlobals : 81, Memory PUSHI : 32, priv. variables : 33	Thorlson
Conversation 12, MemorySlots : 39, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 39	Dorna Ironfist
Conversation 13, MemorySlots : 43, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 43	Morlock
Conversation 14, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 35, priv. variables : 36	Dr. Owl
Conversation 15, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Sseetharee
Conversation 16, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 35, priv. variables : 36	Ishtass
Conversation 17, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 34, priv. variables : 35	Sethar Strongarm
Conversation 18, MemorySlots : 40, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 40	Lakshi Longtooth
Conversation 19, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34	Hagbard
Conversation 20, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Gulik
Conversation 21, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Steeltoe
Conversation 22, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34	golem
Conversation 23, MemorySlots : 39, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 39	Judy
Conversation 24, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	prisoner
Conversation 25, MemorySlots : 37, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 37	Door
Conversation 26, MemorySlots : 35, ImportedGlobals : 81, Memory PUSHI : 32, priv. variables : 35	Celaven
Conversation 27, MemorySlots : 39, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 39	Garamon
Conversation 28, MemorySlots : 71, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 71	Zak
Conversation 64, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Jaacar
Conversation 65, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Eb
Conversation 66, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Drog
Conversation 67, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Bragit
Conversation 88, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Brawnclan
Conversation 89, MemorySlots : 37, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 37	Hewstone
Conversation 90, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Ironwit
Conversation 112, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	bandit
Conversation 113, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	head bandit
Conversation 114, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Iss'leek
Conversation 115, MemorySlots : 33, ImportedGlobals : 81, Memory PUSHI : 32, priv. variables : 33	? Crazy Bob
Conversation 136, MemorySlots : 77, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 77	Oradinar
Conversation 137, MemorySlots : 82, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 82	Linnet
